Nombre;Parcella;Distància al camí (m);Espècie;Estrat
6;1;0;Quercus ilex;Arbòria
4;1;0;Quercus cerroides;Arbòria
1;1;0;Quercus suber;Arbòria
1;1;0;Pistacia lentiscus;Arbustiva
1;1;0;Arbustus unedo;Arbustiva
5;1;0;Erica arborea;Arbustiva
3;1;0;Hedera helix;Lianoide
5;1;0;Viburnum timus;Arbustiva
4;1;0;Quercus coccidera;Arbustiva
2;1;0;Rubia peregrina;Lianoide
1;1;0;Cistus salviifolius;Arbustiva
3;1;0;Ulex parviflorus;Arbustiva
4;2;5;Quercus cerroides;Arbòria
12;2;5;Quercus ilex;Arbòria
2;2;5;Quercus suber;Arbòria
3;2;5;Pistacia lentiscus;Arbustiva
9;2;5;Erica arborea;Arbustiva
5;2;5;Arbustus unedo;Arbustiva
6;2;5;Viburnum timus;Arbustiva
2;2;5;Rubia peregrina;Lianoide
11;3;10;Quercus ilex;Arbòria
4;3;10;Quercus suber;Arbòria
3;3;10;Erica arborea;Arbustiva
3;3;10;Viburnum timus;Arbustiva
3;3;10;Quercus cerroides;Arbòria
2;3;10;Hedera helix;Lianoide
3;3;10;Pistacia lentiscus;Arbustiva
1;3;10;Cistus salviifolius;Arbustiva
7;4;15;Quercus ilex;Arbòria
9;4;15;Erica arborea;Arbustiva
1;4;15;Quercus cerroides;Arbòria
3;4;15;Viburnum timus;Arbustiva
4;4;15;Rubia peregrina;Lianoide
44;5;20;Rubia peregrina;Lianoide
17;5;20;Erica arborea;Arbustiva
46;5;20;Hedera helix;Lianoide
7;5;20;Viburnum timus;Arbustiva
17;5;20;Quercus ilex;Arbòria
7;5;20;Quercus cerroides;Arbòria
1;5;20;Pistacia lentiscus;Arbustiva
1;5;20;Arbustus unedo;Arbustiva
22;6;25;Quercus ilex;Arbòria
5;6;25;Quercus cerroides;Arbòria
2;6;25;Quercus coccidera;Arbustiva
8;6;25;Viburnum timus;Arbustiva
7;6;25;Hedera helix;Lianoide
5;6;25;Erica arborea;Arbustiva
1;6;25;Rubia peregrina;Lianoide
4;6;25;Cistus salviifolius;Arbustiva
